WERKS,MATNR,MENGE,MEINS,BUDAT,LIFNR,BELNR
1102,DSL-FUEL,500,L,2026-05-12,V-1001,4900001
2201,COAL-01,2,TON,2026-05-14,V-2003,4900002
1102,PET-FUEL,300,GAL,2026-05-15,V-1001,4900003
3301,NAT-GAS,1500,M3,2026-05-16,V-3001,4900004
1102,DSL-FUEL,-50,LTR,2026-05-17,V-1001,4900005
2201,DSL-FUEL,25000,L,2026-05-18,V-2003,4900006
1102,HSD-FUEL,800,L,2026-05-19,V-1001,4900007
2201,LPG-01,350,KG,2026-05-20,V-2003,4900008
3301,DSL-FUEL,420,Liters,2026-05-21,V-3001,4900009
1102,COAL-01,5,MT,2026-05-22,V-1001,4900010
2201,NAT-GAS,2200,M3,2026-05-23,V-2003,4900011
1102,DSL-FUEL,600,L,2026-05-24,V-1001,4900012
